PLAYER_ID,FIRST_NAME,LAST_NAME,NATIONALITY,DOB,TEAM,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,FOOT
ply580,Naby,Keïta,Guinea,1995-02-10,Liverpool FC,8.0,Midfielder,172.0,64.0,R
ply581,James,Milner,England,1986-01-04,Liverpool FC,7.0,Midfielder,175.0,70.0,R
ply582,Alex,Oxlade-Chamberlain,England,1993-08-15,Liverpool FC,15.0,Midfielder,175.0,70.0,R
ply583,,Thiago,Spain,1991-04-11,Liverpool FC,6.0,Midfielder,174.0,70.0,R
ply584,Bobby,Clark,England,2005-02-07,Liverpool FC,50.0,Forward,178.0,,R
ply585,Luis,Díaz,Colombia,1997-01-13,Liverpool FC,23.0,Forward,180.0,73.0,R
ply586,Diogo,Jota,Portugal,1996-12-04,Liverpool FC,20.0,Forward,178.0,70.0,R
ply587,Fabio,Carvalho,Portugal,2002-08-30,Liverpool FC,28.0,Forward,170.0,63.0,R
ply588,Darwin,Núñez,Uruguay,1999-06-24,Liverpool FC,27.0,Forward,187.0,80.0,R
ply589,Roberto,Firmino,Brazil,1991-10-02,Liverpool FC,9.0,Forward,181.0,76.0,R
ply590,Mo,Salah,Egypt,1992-06-15,Liverpool FC,11.0,Forward,175.0,73.0,L
ply591,John,Achterberg,Netherlands,1971-07-08,Liverpool FC,,Goalkeeping,189.0,90.0,
ply592,Cláudio,Taffarel,Brazil,1966-05-08,Liverpool FC,,Goalkeeping,182.0,80.0,
ply593,Jack,Robinson,England,,Liverpool FC,,Goalkeeping,,,
ply594,Jordan,Fairclough,England,,Liverpool FC,,Fitness,,,
ply595,John,Hill,England,,Liverpool FC,,Fitness,,,
ply596,Andreas,Kornmayer,Germany,1974-09-21,Liverpool FC,,Fitness,,,
ply597,Conall,Murtagh,Northern Ireland,1985-06-29,Liverpool FC,,Fitness,183.0,75.0,R
ply598,David,Rydings,England,,Liverpool FC,,Rehab,,,
ply599,Andreas,Schlumberger,Germany,1966-07-23,Liverpool FC,,Rehab,,,
ply600,Mark,Hulse,England,1971-09-06,Liverpool FC,,Physical,,,
ply601,Thomas,Grønnemark,England,1975-12-12,Liverpool FC,,Individual,,,
ply602,Angel,Vales,Spain,1967-02-01,Liverpool FC,,Technique,,,
ply603,Vitor,Matos,England,,Liverpool FC,,Special,,,
ply604,James,French,England,,Liverpool FC,,Game,,,
ply605,Greg,Mathieson,England,,Liverpool FC,,Game,,,
ply606,Daniel,Spearritt,England,,Liverpool FC,,Game,,,
ply607,Viktor,Andersson,Sweden,2004-03-30,Malmö FF,39.0,Goalkeeper,186.0,76.0,
ply608,Johan,Dahlin,Sweden,1986-09-08,Malmö FF,27.0,Goalkeeper,192.0,94.0,R
ply611,André Alvarez,Perez,Sweden,2005-03-23,Malmö FF,42.0,Defender,,,
ply612,Felix,Beijmo,Sweden,1998-01-31,Malmö FF,14.0,Defender,186.0,82.0,R
ply613,Matěj,Chaluš,Czech Republic,1998-02-02,Malmö FF,23.0,Defender,190.0,89.0,R
ply614,Dennis,Hadžikadunić,Bosnia-Herzegovina,1998-07-09,Malmö FF,21.0,Defender,186.0,81.0,R
ply615,Jonas,Knudsen,Denmark,1992-09-16,Malmö FF,3.0,Defender,187.0,72.0,L
ply616,Niklas,Moisander,Finland,1985-09-29,Malmö FF,4.0,Defender,183.0,77.0,L
ply617,Lasse,Nielsen,Denmark,1988-01-08,Malmö FF,24.0,Defender,185.0,82.0,R
ply618,Martin,Olsson,Sweden,1988-05-17,Malmö FF,13.0,Defender,180.0,78.0,L
ply619,Raymond,Adjei,Sweden,2004-02-10,Malmö FF,44.0,Midfielder,,,
ply620,Jo Inge,Berget,Norway,1990-09-11,Malmö FF,32.0,Midfielder,186.0,81.0,R
ply621,Anders,Christiansen,Denmark,1990-06-08,Malmö FF,10.0,Midfielder,175.0,68.0,R
ply623,Hugo,Larsson,Sweden,2004-06-27,Malmö FF,31.0,Midfielder,187.0,63.0,
ply624,Oscar,Lewicki,Sweden,1992-07-14,Malmö FF,6.0,Midfielder,170.0,67.0,
ply625,Emmanuel,Lomotey,Ghana,1997-12-19,Malmö FF,40.0,Midfielder,190.0,79.0,R
ply626,Sergio,Peña,Peru,1995-09-28,Malmö FF,8.0,Midfielder,178.0,70.0,R
ply627,Erdal,Rakip,North Macedonia,1996-02-13,Malmö FF,7.0,Midfielder,178.0,71.0,R
ply628,Søren,Rieks,Denmark,1987-04-07,Malmö FF,5.0,Midfielder,185.0,76.0,
ply629,Patriot,Sejdiu,Kosovo,2000-05-05,Malmö FF,36.0,Midfielder,182.0,,L
ply630,Mahamé,Siby,France,1996-07-07,Malmö FF,25.0,Midfielder,191.0,84.0,R
ply631,Moustafa,Zeidan,Sweden,1998-06-07,Malmö FF,20.0,Midfielder,174.0,72.0,L
ply632,Mohamed,Buya,Sierra Leone,1995-01-10,Malmö FF,33.0,Forward,180.0,72.0,
ply633,Joseph,Ceesay,Sweden,1998-06-03,Malmö FF,15.0,Forward,178.0,69.0,R
ply634,Mamadou,Diagne,Sweden,2003-09-14,Malmö FF,41.0,Forward,,,
ply635,Isaac Kiese,Thelin,Sweden,1992-06-24,Malmö FF,9.0,Forward,189.0,83.0,R
ply636,Adi,Nalić,Bosnia-Herzegovina,1997-12-01,Malmö FF,22.0,Forward,190.0,83.0,
ply638,Jonnie,Fedel,Sweden,1966-11-22,Malmö FF,,Goalkeeping,184.0,89.0,
ply639,Scott,Carson,England,1985-09-03,Manchester City,33.0,Goalkeeper,188.0,86.0,R
ply640,,Ederson,Brazil,1993-08-17,Manchester City,31.0,Goalkeeper,188.0,86.0,L
ply641,Stefan,Ortega,Germany,1992-11-06,Manchester City,18.0,Goalkeeper,185.0,88.0,R
ply642,Manuel,Akanji,Switzerland,1995-07-19,Manchester City,25.0,Defender,187.0,91.0,R
ply643,Nathan,Aké,Netherlands,1995-02-18,Manchester City,6.0,Defender,180.0,75.0,L
ply644,João,Cancelo,Portugal,1994-05-27,Manchester City,7.0,Defender,182.0,74.0,R
ply645,Aymeric,Laporte,Spain,1994-05-27,Manchester City,14.0,Defender,190.0,87.0,L
ply647,Benjamin,Mendy,France,1994-07-17,Manchester City,22.0,Defender,185.0,85.0,L
ply648,Rúben,Dias,Portugal,1997-05-14,Manchester City,3.0,Defender,187.0,82.0,R
ply649,John,Stones,England,1994-05-28,Manchester City,5.0,Defender,188.0,70.0,R
ply650,Kyle,Walker,England,1990-05-28,Manchester City,2.0,Defender,183.0,83.0,R
ply651,Josh,Wilson-Esbrand,England,2002-12-26,Manchester City,97.0,Defender,176.0,63.0,L
ply652,Bernardo,Silva,Portugal,1994-08-10,Manchester City,20.0,Midfielder,173.0,64.0,L
ply653,Kevin De,Bruyne,Belgium,1991-06-28,Manchester City,17.0,Midfielder,181.0,70.0,R
ply654,Phil,Foden,England,2000-05-28,Manchester City,47.0,Midfielder,171.0,70.0,L
ply655,Jack,Grealish,England,1995-09-10,Manchester City,10.0,Midfielder,175.0,68.0,R
ply656,İlkay,Gündoğan,Germany,1990-10-24,Manchester City,8.0,Midfielder,180.0,79.0,R
ply657,Cole,Palmer,England,2002-05-06,Manchester City,80.0,Midfielder,189.0,72.0,L
ply658,Kalvin,Phillips,England,1995-12-02,Manchester City,4.0,Midfielder,178.0,72.0,R
ply659,,Rodri,Spain,1996-06-22,Manchester City,16.0,Midfielder,191.0,82.0,R
ply660,Sergio,Gómez,Spain,2000-09-04,Manchester City,21.0,Midfielder,171.0,68.0,L
ply661,Julián,Álvarez,Argentina,2000-01-31,Manchester City,19.0,Forward,170.0,71.0,R
ply662,Erling,Haaland,Norway,2000-07-21,Manchester City,9.0,Forward,194.0,88.0,L
ply664,Riyad,Mahrez,Algeria,1991-02-21,Manchester City,26.0,Forward,179.0,67.0,L
ply665,Richard,Wright,England,1977-11-05,Manchester City,,Goalkeeping,189.0,87.0,
ply666,,Xabier,Spain,1970-05-24,Manchester City,,Goalkeeping,182.0,82.0,
ply667,Lorenzo,Buenaventura,Spain,1963-01-01,Manchester City,,Fitness,,,
ply668,Ryan,DeFreitas,England,1986-10-28,Manchester City,,Game,,,
ply669,Carles,Planchart,Spain,1965-12-17,Manchester City,,Video,,,
ply670,Piet,Cremers,Netherlands,1994-10-27,Manchester City,,Chief,,,
ply671,Martin,Drury,England,1986-04-10,Manchester United,,08/2022,,,
ply672,De,Gea,Spain,1990-11-07,Manchester United,1.0,Goalkeeper,192.0,82.0,R
ply673,Martin,Dúbravka,Slovakia,1989-01-15,Manchester United,31.0,Goalkeeper,191.0,83.0,R
ply674,Tom,Heaton,England,1986-04-15,Manchester United,22.0,Goalkeeper,188.0,85.0,R
ply675,Radek,Vítek,Czech Republic,2003-10-24,Manchester United,50.0,Goalkeeper,198.0,76.0,R
ply676,Diogo,Dalot,Portugal,1999-03-18,Manchester United,20.0,Defender,184.0,77.0,R
ply677,Tyler,Fredricson,England,2005-02-23,Manchester United,80.0,Defender,,,R
ply678,Phil,Jones,England,1992-02-21,Manchester United,4.0,Defender,185.0,71.0,R
ply679,Victor,Lindelöf,Sweden,1994-07-17,Manchester United,2.0,Defender,187.0,82.0,R
ply680,Harry,Maguire,England,1993-03-05,Manchester United,5.0,Defender,194.0,99.0,R
ply681,Tyrell,Malacia,Netherlands,1999-08-17,Manchester United,12.0,Defender,175.0,67.0,L
ply682,Lisandro,Martínez,Argentina,1998-01-18,Manchester United,6.0,Defender,175.0,77.0,L
ply683,Teden,Mengi,England,2002-04-30,Manchester United,43.0,Defender,183.0,78.0,R
ply684,Luke,Shaw,England,1995-07-12,Manchester United,23.0,Defender,178.0,75.0,L
ply685,Axel,Tuanzebe,England,1997-11-14,Manchester United,38.0,Defender,186.0,81.0,R
ply686,Raphaël,Varane,France,1993-04-25,Manchester United,19.0,Defender,191.0,81.0,R
ply687,Aaron,Wan-Bissaka,England,1997-11-26,Manchester United,29.0,Defender,183.0,72.0,R
ply688,Brandon,Williams,England,2000-09-03,Manchester United,33.0,Defender,172.0,63.0,R
ply689,Bruno,Fernandes,Portugal,1994-09-08,Manchester United,8.0,Midfielder,179.0,69.0,R
ply690,,Casemiro,Brazil,1992-02-23,Manchester United,18.0,Midfielder,185.0,84.0,R
ply691,Christian,Eriksen,Denmark,1992-02-14,Manchester United,14.0,Midfielder,182.0,76.0,
ply692,,Fred,Brazil,1993-03-05,Manchester United,17.0,Midfielder,169.0,62.0,L
ply694,Scott,McTominay,Scotland,1996-12-08,Manchester United,39.0,Midfielder,193.0,88.0,R
ply695,Facundo,Pellistri,Uruguay,2001-12-20,Manchester United,28.0,Midfielder,174.0,65.0,R
ply696,Donny van de,Beek,Netherlands,1997-04-18,Manchester United,34.0,Midfielder,184.0,76.0,R
ply697,Alejandro,Garnacho,Argentina,2004-07-01,Manchester United,49.0,Forward,180.0,80.0,R
ply698,,Antony,Brazil,2000-02-24,Manchester United,21.0,Forward,172.0,63.0,L
ply699,Cristiano,Ronaldo,Portugal,1985-02-05,Manchester United,7.0,Forward,187.0,83.0,
ply700,Anthony,Elanga,Sweden,2002-04-27,Manchester United,36.0,Forward,178.0,65.0,R
ply701,Mason,Greenwood,England,2001-10-01,Manchester United,11.0,Forward,181.0,70.0,
ply702,Anthony,Martial,France,1995-12-05,Manchester United,9.0,Forward,181.0,76.0,R
ply704,Marcus,Rashford,England,1997-10-31,Manchester United,10.0,Forward,185.0,70.0,R
ply705,Jadon,Sancho,England,2000-03-25,Manchester United,25.0,Forward,180.0,76.0,R
ply707,Richard,Hartis,England,1967-09-16,Manchester United,,Goalkeeping,,,
ply708,Craig,Mawson,England,1979-05-16,Manchester United,,Goalkeeping,188.0,84.0,
ply709,Richard,Hawkins,England,1971-01-27,Manchester United,,Athletic,,,
ply710,Michael,Clegg,England,1977-07-03,Manchester United,,Physical,173.0,73.0,
ply711,Eric,Ramsay,Wales,1992-02-14,Manchester United,,Individual,,,
ply712,Kevin,Keij,Netherlands,1985-09-29,Manchester United,,Game,,,
ply713,Luke,Lazenby,England,1990-12-15,Manchester United,,Game,,,
ply714,Anthony,Bates,England,1990-12-15,Manchester United,,Video,,,
ply715,Stewart,Heppinstall,England,1989-12-27,Manchester United,,Video,,,
ply716,Andrew,Meredith,Australia,1972-04-24,Manchester United,,Video,,,
ply717,Paul,Brand,Scotland,1988-02-07,Manchester United,,Chief,,,
ply718,Gianluigi,Donnarumma,Italy,1999-02-25,Paris Saint-Germain,99.0,Goalkeeper,196.0,90.0,R
ply719,Alexandre,Letellier,France,1990-12-11,Paris Saint-Germain,90.0,Goalkeeper,193.0,93.0,R
ply720,Keylor,Navas,Costa Rica,1986-12-15,Paris Saint-Germain,1.0,Goalkeeper,185.0,80.0,R
ply721,Sergio,Rico,Spain,1993-09-01,Paris Saint-Germain,16.0,Goalkeeper,195.0,90.0,R
ply722,El Chadaïlle,Bitshiabu,France,2005-05-16,Paris Saint-Germain,31.0,Defender,196.0,95.0,L
ply723,Achraf,Hakimi,Morocco,1998-11-04,Paris Saint-Germain,2.0,Defender,181.0,73.0,R
ply724,Juan,Bernat,Spain,1993-03-01,Paris Saint-Germain,14.0,Defender,170.0,67.0,L
ply725,Presnel,Kimpembe,France,1995-08-13,Paris Saint-Germain,3.0,Defender,189.0,80.0,L
ply726,,Marquinhos,Brazil,1994-05-14,Paris Saint-Germain,5.0,Defender,183.0,75.0,R
ply727,Nordi,Mukiele,France,1997-11-01,Paris Saint-Germain,26.0,Defender,187.0,84.0,R
ply728,Nuno,Mendes,Portugal,2002-06-19,Paris Saint-Germain,25.0,Defender,184.0,72.0,L
ply729,Sergio,Ramos,Spain,1986-03-30,Paris Saint-Germain,4.0,Defender,184.0,82.0,R
ply730,Carlos,Soler,Spain,1997-01-02,Paris Saint-Germain,28.0,Midfielder,180.0,76.0,R
ply731,,Danilo,Portugal,1991-09-09,Paris Saint-Germain,15.0,Midfielder,188.0,83.0,R
ply732,Fabián,Ruiz,Spain,1996-04-03,Paris Saint-Germain,8.0,Midfielder,189.0,70.0,L
ply733,Pablo,Sarabia,Spain,1992-05-11,Paris Saint-Germain,19.0,Midfielder,174.0,70.0,L
ply734,Renato,Sanches,Portugal,1997-08-18,Paris Saint-Germain,18.0,Midfielder,176.0,70.0,R
ply735,Marco,Verratti,Italy,1992-11-05,Paris Saint-Germain,6.0,Midfielder,165.0,60.0,R
ply736,,Vitinha,Portugal,2000-02-13,Paris Saint-Germain,17.0,Midfielder,172.0,64.0,R
ply737,Warren,Zaire-Emery,France,2006-03-08,Paris Saint-Germain,33.0,Midfielder,178.0,,R
ply738,Hugo,Ekitike,France,2002-06-20,Paris Saint-Germain,44.0,Forward,189.0,75.0,R
ply739,Kylian,Mbappé,France,1998-12-20,Paris Saint-Germain,7.0,Forward,178.0,73.0,R
ply740,Lionel,Messi,Argentina,1987-06-24,Paris Saint-Germain,30.0,Forward,170.0,72.0,L
ply741,,Neymar,Brazil,1992-02-05,Paris Saint-Germain,10.0,Forward,175.0,68.0,R
ply742,Gianluca,Spinelli,Italy,1966-10-28,Paris Saint-Germain,,Goalkeeping,,,
ply743,Janis,Blaswich,Germany,1991-05-02,RB Leipzig,21.0,Goalkeeper,193.0,88.0,R
ply744,Péter,Gulácsi,Hungary,1990-05-06,RB Leipzig,1.0,Goalkeeper,191.0,86.0,R
ply745,Jonas,Nickisch,Germany,2004-05-21,RB Leipzig,34.0,Goalkeeper,,,
ply746,Oskar,Preil,Germany,2003-09-14,RB Leipzig,,Goalkeeper,,,
ply747,Sanoussy,Ba,Germany,2004-01-05,RB Leipzig,25.0,Defender,184.0,,
ply748,Abdou,Diallo,Senegal,1996-05-04,RB Leipzig,37.0,Defender,186.0,79.0,L
ply749,Joško,Gvardiol,Croatia,2002-01-23,RB Leipzig,32.0,Defender,185.0,82.0,L
ply750,Marcel,Halstenberg,Germany,1991-09-27,RB Leipzig,23.0,Defender,188.0,87.0,L
ply751,Benjamin,Henrichs,Germany,1997-02-23,RB Leipzig,39.0,Defender,183.0,79.0,R
ply752,Lukas,Klostermann,Germany,1996-06-03,RB Leipzig,16.0,Defender,187.0,88.0,R
ply753,Willi,Orban,Hungary,1992-11-03,RB Leipzig,4.0,Defender,186.0,87.0,R
ply754,David,Raum,Germany,1998-04-22,RB Leipzig,22.0,Defender,180.0,75.0,L
ply755,Mohamed,Simakan,France,2000-05-03,RB Leipzig,2.0,Defender,187.0,82.0,R
ply756,Dani,Olmo,Spain,1998-05-07,RB Leipzig,7.0,Midfielder,179.0,72.0,R
ply757,Emil,Forsberg,Sweden,1991-10-23,RB Leipzig,10.0,Midfielder,177.0,76.0,R
ply758,Amadou,Haïdara,Mali,1998-01-31,RB Leipzig,8.0,Midfielder,175.0,72.0,R
ply759,Kevin,Kampl,Slovenia,1990-10-09,RB Leipzig,44.0,Midfielder,178.0,66.0,R
ply760,Konrad,Laimer,Austria,1997-05-27,RB Leipzig,27.0,Midfielder,180.0,72.0,R
ply761,Xaver,Schlager,Austria,1997-09-28,RB Leipzig,24.0,Midfielder,174.0,76.0,L
ply762,Dominik,Szoboszlai,Hungary,2000-10-25,RB Leipzig,17.0,Midfielder,186.0,74.0,R
ply763,André,Silva,Portugal,1995-11-06,RB Leipzig,19.0,Forward,185.0,84.0,R
ply764,Hugo,Novoa,Spain,2003-01-24,RB Leipzig,38.0,Forward,182.0,70.0,R
ply765,Christopher,Nkunku,France,1997-11-14,RB Leipzig,18.0,Forward,175.0,73.0,R
ply766,Yussuf,Poulsen,Denmark,1994-06-15,RB Leipzig,9.0,Forward,192.0,84.0,R
ply767,Timo,Werner,Germany,1996-03-06,RB Leipzig,11.0,Forward,181.0,75.0,R
ply768,Frederik,Gößling,Germany,1977-09-22,RB Leipzig,,Goalkeeping,190.0,88.0,
ply769,Philipp,Tschauner,Germany,1985-11-03,RB Leipzig,,Goalkeeping,196.0,100.0,R
ply770,Daniel,Behlau,Germany,1988-08-24,RB Leipzig,,Athletic,,,
ply771,Ruwen,Faller,Germany,1980-07-22,RB Leipzig,,Athletic,,,
ply772,Kai,Kraft,Germany,1977-07-02,RB Leipzig,,Athletic,,,
ply773,Matthias,Grote,Germany,1987-05-10,RB Leipzig,,Game,,,
ply774,Fabian,Friedrich,Germany,1985-10-19,RB Leipzig,,Chief,,,
ply775,Peter,Schneider,USA,1984-04-21,RB Leipzig,,02/2022,,,
ply776,Philipp,Köhn,Switzerland,1998-04-02,RB Salzburg,18.0,Goalkeeper,191.0,75.0,R
ply777,Nico,Mantl,Germany,2000-02-06,RB Salzburg,1.0,Goalkeeper,193.0,88.0,
ply778,Adam,Stejskal,Czech Republic,2002-03-28,RB Salzburg,40.0,Goalkeeper,189.0,,R
ply779,Alexander,Walke,Germany,1983-06-06,RB Salzburg,33.0,Goalkeeper,189.0,88.0,R
ply780,Samson,Baidoo,Austria,2004-03-31,RB Salzburg,6.0,Defender,187.0,,R
ply781,,Bernardo,Brazil,1995-05-14,RB Salzburg,95.0,Defender,186.0,76.0,L
ply782,Amar,Dedić,Bosnia-Herzegovina,2002-08-18,RB Salzburg,70.0,Defender,180.0,70.0,R
ply783,Bryan,Okoh,Switzerland,2003-05-16,RB Salzburg,3.0,Defender,187.0,77.0,
ply784,Strahinja,Pavlović,Serbia,2001-05-24,RB Salzburg,31.0,Defender,194.0,84.0,L
ply785,Kamil,Piątkowski,Poland,2000-06-21,RB Salzburg,4.0,Defender,191.0,83.0,R
ply786,Oumar,Solet,France,2000-02-07,RB Salzburg,22.0,Defender,192.0,81.0,R
ply787,Andreas,Ulmer,Austria,1985-10-30,RB Salzburg,17.0,Defender,175.0,73.0,L
ply788,Ignace Van Der,Brempt,Belgium,2002-04-01,RB Salzburg,2.0,Defender,187.0,71.0,R
ply789,Max,Wöber,Austria,1998-02-04,RB Salzburg,39.0,Defender,188.0,76.0,L
ply790,Antoine,Bernède,France,1999-05-26,RB Salzburg,10.0,Midfielder,177.0,74.0,L
ply791,Nicolás,Capaldo,Argentina,1998-09-14,RB Salzburg,7.0,Midfielder,177.0,73.0,R
ply792,Ousmane,Diakité,Mali,2000-07-25,RB Salzburg,,Midfielder,187.0,87.0,
ply793,Mamady,Diambou,Mali,2002-11-11,RB Salzburg,15.0,Midfielder,176.0,,R
ply794,Youba,Diarra,Mali,1998-03-24,RB Salzburg,24.0,Midfielder,178.0,79.0,R
ply795,Lucas,Gourna-Douath,France,2003-08-05,RB Salzburg,27.0,Midfielder,185.0,78.0,R
ply796,Dijon,Kameri,Austria,2004-04-20,RB Salzburg,8.0,Midfielder,181.0,,R
ply797,Maurits,Kjærgaard,Denmark,2003-06-26,RB Salzburg,14.0,Midfielder,186.0,70.0,R
ply798,Justin,Omoregie,Austria,2003-09-21,RB Salzburg,36.0,Midfielder,,,
ply799,Nicolas,Seiwald,Austria,2001-05-04,RB Salzburg,13.0,Midfielder,179.0,70.0,R
